freq,ang,val
3.0,63.0,-4.41
3.25,63.0,-4.28
3.5,63.0,-5.21
3.75,63.0,-9.39
4.0,63.0,-13.26
0.0,72.0,-4.16
0.25,72.0,-2.81
0.5,72.0,-3.22
0.75,72.0,-5.37
1.0,72.0,-6.2
1.25,72.0,-6.64
1.5,72.0,-8.0
1.75,72.0,-7.11
2.0,72.0,-6.25
2.25,72.0,-6.19
2.5,72.0,-6.9
2.75,72.0,-7.0
3.0,72.0,-7.79
3.25,72.0,-10.25
3.5,72.0,-13.83
3.75,72.0,-8.54
4.0,72.0,-9.55
0.0,81.0,5.04
0.25,81.0,3.83
0.5,81.0,-0.37
0.75,81.0,-3.68
1.0,81.0,-4.9
1.25,81.0,-6.06
1.5,81.0,-7.46
1.75,81.0,-7.42
2.0,81.0,-7.77
2.25,81.0,-8.74
2.5,81.0,-10.13
2.75,81.0,-11.75
3.0,81.0,-24.68
3.25,81.0,-11.86
3.5,81.0,-11.67
3.75,81.0,-11.8
4.0,81.0,-11.66
0.0,90.0,-20.14
0.25,90.0,-22.51
0.5,90.0,-35.66
0.75,90.0,-34.19
1.0,90.0,-34.44
1.25,90.0,-35.87
1.5,90.0,-38.22
1.75,90.0,-41.31
2.0,90.0,-43.87
2.25,90.0,-46.58
2.5,90.0,-44.0
2.75,90.0,-42.52
3.0,90.0,-40.65
3.25,90.0,-39.16
3.5,90.0,-39.0
3.75,90.0,-44.52
4.0,90.0,-47.15
0.0,99.0,4.92
0.25,99.0,4.18
0.5,99.0,-0.25
0.75,99.0,-3.65
1.0,99.0,-4.64
1.25,99.0,-5.2
1.5,99.0,-5.8
1.75,99.0,-5.77
2.0,99.0,-6.08
2.25,99.0,-6.73
2.5,99.0,-7.67
2.75,99.0,-8.63
3.0,99.0,-10.92
3.25,99.0,-15.04
3.5,99.0,-15.9
3.75,99.0,-10.0
4.0,99.0,-10.55
0.0,108.0,6.44
0.25,108.0,5.47
0.5,108.0,0.75
0.75,108.0,-2.86
1.0,108.0,-3.42
1.25,108.0,-3.78
1.5,108.0,-4.31
1.75,108.0,-4.47
2.0,108.0,-4.54
2.25,108.0,-4.77
2.5,108.0,-5.25
2.75,108.0,-5.5
3.0,108.0,-5.81
3.25,108.0,-6.25
3.5,108.0,-6.77
3.75,108.0,-8.16
4.0,108.0,-9.62
0.0,117.0,3.67
0.25,117.0,3.06
0.5,117.0,-1.75
0.75,117.0,-4.72
1.0,117.0,-4.71
1.25,117.0,-4.65
1.5,117.0,-5.01
1.75,117.0,-5.22
2.0,117.0,-5.21
2.25,117.0,-5.23
2.5,117.0,-5.4
2.75,117.0,-5.36
3.0,117.0,-5.13
3.25,117.0,-4.81
3.5,117.0,-4.45
3.75,117.0,-5.59
4.0,117.0,-6.54
0.0,126.0,4.29
0.25,126.0,3.24
0.5,126.0,-1.07
0.75,126.0,-4.71
1.0,126.0,-4.96
1.25,126.0,-5.1
1.5,126.0,-5.52
1.75,126.0,-5.82
2.0,126.0,-5.89
2.25,126.0,-5.95
2.5,126.0,-5.96
2.75,126.0,-5.67
3.0,126.0,-5.21
3.25,126.0,-4.61
3.5,126.0,-3.62
3.75,126.0,-4.01
4.0,126.0,-4.69
0.0,135.0,1.53
0.25,135.0,0.56
0.5,135.0,-2.97
0.75,135.0,-5.99
1.0,135.0,-5.76
1.25,135.0,-5.46
1.5,135.0,-5.65
1.75,135.0,-5.84
2.0,135.0,-5.77
2.25,135.0,-5.64
2.5,135.0,-5.52
2.75,135.0,-5.24
3.0,135.0,-4.81
3.25,135.0,-4.17
3.5,135.0,-3.3
3.75,135.0,-4.0
4.0,135.0,-4.74
0.0,144.0,2.31
0.25,144.0,2.09
0.5,144.0,-2.79
0.75,144.0,-5.96
1.0,144.0,-5.37
1.25,144.0,-5.08
1.5,144.0,-5.27
1.75,144.0,-5.48
2.0,144.0,-5.4
2.25,144.0,-5.32
2.5,144.0,-5.29
2.75,144.0,-5.1
3.0,144.0,-4.73
3.25,144.0,-4.18
3.5,144.0,-3.47
3.75,144.0,-4.33
4.0,144.0,-5.13
0.0,153.0,3.88
0.25,153.0,3.44
0.5,153.0,-1.71
0.75,153.0,-5.43
1.0,153.0,-5.07
1.25,153.0,-4.98
1.5,153.0,-5.18
1.75,153.0,-5.42
2.0,153.0,-5.35
2.25,153.0,-5.37
2.5,153.0,-5.39
2.75,153.0,-5.25
